Disease,Medication
Fungal infection,"['Candid Multi-Benefit Skin Cream', 'Fluconazole tablet usp', 'Terbinafine', ' Topical Clotrimazole', 'Ketoconazole']"
Allergy,"[' Allergy Relief Antihistamines Tablet', 'Sudafed PE or Afrin', 'Epinephrine injection', 'Corticosteroids', 'Immunotherapy']"
GERD,"['Prilosec', 'Omeprazole capsules', 'Mylanta, Rolaids', 'Domperidone', 'Pantoprazole']"
Chronic cholestasis,"['Udiliv Tablet', 'Cholstran', 'Ursodeoxycholic acid.', 'Corticosteroids', 'Liver transplant']"
Drug Reaction,"['Fexofenadine', 'Epinephrine injection', 'Prednisone', 'Diphenhydramine', 'Antifungal Cream']"
Peptic ulcer disease,"['Amoxicillin', 'Omeprazole', 'Cimetidine', 'Maalox, Mylanta', 'Sucralfate ']"
AIDS,"['Emtricitabine', 'Atazanavir', 'Raltegravir', 'Maraviroc', 'Enfuvirtide']"
Diabetes,"['Lyumjev', 'Glumetza', 'Glipizide', 'Sitagliptin', 'Dulaglutide']"
Gastroenteritis,"['Metronidazole', 'Ondansetron', 'Bismuth subsalicylate', 'Ringer's Lactate', 'Lactobacillus rhamnosus GG (LGG)']"
Bronchial Asthma,"['Salmeterol', 'Fluticasone', 'Montelukast', 'Cromolyn and Nedocromi', 'Ipratropium bromide ']"
Hypertension,"['Aldomet Tablets', 'Hydrochlorothiazide', 'Atenolol', 'Benazepril (Lotensin)', 'Amlodipine (Norvasc)']"
Migraine,"['Acetaminophen', 'zolmitriptan', 'Dihydroergotamine', 'Preventive medications', 'Biofeedback']"
Cervical spondylosis,"['Naproxen', 'Spasdilite EP', 'Physical therapy', 'Neck braces', 'Prednisone or Methylprednisolone']"
Paralysis (brain hemorrhage),"['Warfarin ', 'Alteplase (Activase) or Tenecteplase (TNKase)', 'Levetiracetam and Phenytoin', 'Physical therapy', 'Occupational therapy']"
Jaundice,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Cholestyramine ', 'Entecavir (Baraclude)']"
Malaria,"['Artemether-lumefantrine (Coartem)', 'Paracetamol (acetaminophen)', 'Artesunate-Mefloquine', 'IV fluids', 'Blood transfusions']"
Chicken pox,"['Acyclovir (Zovirax, Sitavig)', 'Acetaminophen (like Tylenol)', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']"
Dengue,"['Acetaminophen (Tylenol)', 'Antipyretics', 'Analgesics', 'IV fluids', 'Methylprednisolone or Prednisolone']"
Typhoid,"['Vaccination', Azithromycin', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
hepatitis A,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
Hepatitis B,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis C,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis D,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis E,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']"
Alcoholic hepatitis,"['Metronidazole (Flagyl)', 'Nydrazid', 'Rifampin', ' Myambutol', 'Pyrazinamide']"
Tuberculosis,"['Isoniazid', 'Rifampin', 'Pyrazinamide', ''Ethambutol, 'Aspirin or Paracetamol']"
Common Cold,"['Azithromycin', 'Tamiflu', 'Ketoconazole Tablet', 'IV fluids', 'Oxygen therapy']"
Pneumonia,"['Laxatives', 'Acetaminophen (Tylenol)', 'Warm baths', 'Cold compresses', 'High-fiber diet']"
Dimorphic hemmorhoids(piles),"['Rectiv (glyceryl trinitrate)', 'Aspirin', 'Daflon 500mg', 'Nifedipine and Diltiazem', 'Pylno']"
Heart attack,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']"
Varicose veins,"['Levothyroxine', 'Propylthiouracil and Methimazole', 'Propranolol (Inderal, Innopran XL)', 'Radioactive iodine', 'Thyroid surgery']"
Hypothyroidism,"['Levothyroxine', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Levothyroxine (Ermeza, Euthyrox, L Thyroxine)']"
Hyperthyroidism,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']"
Hypoglycemia,"['Tramadol', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']"
Osteoarthristis,"['Ibuprofen (Advil, Motrin'),'Methotrexate', 'TNF-alpha and IL-6', 'Prednisone and Hydrocortisone', 'Joint replacement surgery']"
Arthritis,"['Vestibular rehabilitation', ' Ibuprofen and Naproxen', 'Zofran (ondansetron)', 'Surgery', 'Home exercises']"
(vertigo) Paroymsal Positional Vertigo,"['Dimenhydrinate (Dramamine)', 'Epley maneuver', 'Betahistinw HCL Tablet', 'Clonazepam', 'Isotretinoin']"
Acne,"['Doxycycline, Minocycline', 'Paracetamol or Aspirin ', 'Loratadine', 'Prednisone or Prednisolone', 'Benzoyl Peroxide']"
Urinary tract infection,"['UTI-ROZ', 'Uristat Ultra', 'Phenazopyridine', 'Flavoxate, Oxybutynin', 'Lactobacillus rhamnosus GR-1']"
Psoriasis,"['Triamcinolone', 'Phototherapy', 'Apremilast (Otezla)', 'Guselkumab (Tremfya)', 'Alphosyl, Exorex']"
Impetigo,"['Mupirocin', 'Cephalexin', 'Mupirocin (Bactroban)', 'Retapamulin', 'Warm compresses']"
